State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ANDHRA PRADESH,0,1,1,0,11,11,11,3,2,3,2,4,2
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,0,0,0,1,2,1,0,0,0,3,0,0,0
BIHAR,2,0,0,1,0,0,1,0,0,0,2,12,3
CHHATTISGARH,0,0,0,0,0,0,0,1,0,0,1,0,0
GOA,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJRAT,0,0,0,0,0,0,0,0,1,0,0,0,2
HARYANA,2,1,0,0,0,0,0,0,0,0,4,0,2
HIMACHAL PRADESH,0,0,1,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,0,0,0,0,0,0,0,1,0,4,7,12,7
KARNATAKA,2,1,0,0,0,0,0,0,1,0,1,0,1
KERALA ,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,0,1,25,0,1,0,2,5,1,2,3,5,3
MAHARASHTRA,2,9,8,14,7,24,31,26,31,28,22,6,15
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,1,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,0,0,0,1,0,1,0,0,0,1,0,0,0
RAJASTHAN,0,0,1,2,1,2,0,0,0,0,2,1,1
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARPRADESH,2,0,0,0,0,0,1,0,0,0,5,18,0
UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,5,1,24,21,46,118,61,43,51,163,87,59,70
A & N ISLAND,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,4,0,0,0,9,1,2,0,2,4,2,5,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0
